DIRECTORATE,SUPPLIER,SUPPLIER NAME,TRANS NOS,AMOUNT,TRANS DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER GROUP
ADCHILD,247C99,24/7 Cars Bedford Ltd,10482690,"1,716.00",01/04/2015,Transport Related Expenditure,Passenger Transport,General Creditors
ADCHILD,3PLE99,3P Learning Limited,10481045,"2,679.00",08/04/2015,Supplies,Leasing - Learning Resources,General Creditors
ADCHILD,4CHI99,4Children,10479658,"2,380.00",01/04/2015,Supplies,Professional Fees,General Creditors
ADCHILD,4CHI99,4Children,10480182,"84,934.50",08/04/2015,Transfer Payments,Contract Payments - Private Contractors,General Creditors
ADCHILD,4CHI99,4Children,10480183,"43,680.60",08/04/2015,Transfer Payments,Contract Payments - Private Contractors,General Creditors
ADCHILD,4CHI99,4Children,10480184,"114,054.90",08/04/2015,Transfer Payments,Contract Payments - Private Contractors,General Creditors
ADCHILD,A1CA01,A1 Cars,10479629,"2,215.00",01/02/2015,Transfer Payments,Transport & Meals (Social Services Care),General Creditors
ADCHILD,A1CA01,A1 Cars,10480222,385.00,16/10/2014,Transfer Payments,Transport & Meals (Social Services Care),General Creditors
ADCHILD,ABBE05,Abbeyfield School,10480886,438.00,13/04/2015,Transfer Payments,Top-Ups - Academies & Free Schools - OLA,General Creditors
ADCHILD,ABLE97,Able Community Care,10479895,"1,325.00",01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ABLE97,Able Community Care,10479897,"1,325.00",01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ACES02,Ace Fire & Security Systems Ltd,10483895,359.38,01/04/2015,Premises,Annual Maintenance of Fixtures & Fittings,General Creditors
ADCHILD,ACHI01,Achievement for All (3As) Limited,10482962,"12,950.00",22/04/2015,Supplies,Learning Resources - Other,Schools
ADCHILD,ADDE97,Addenbrookes NHS Trust,10337361,"2,280.00",20/02/2013,Supplies,External Stationery,General Creditors
ADCHILD,ADOP99,Adoptionplus Ltd,10477904,"1,068.75",11/03/2015,Supplies,Subscriptions,General Creditors
ADCHILD,AGEU01,Age UK,10482479,"7,991.00",01/10/2014,Transfer Payments,Contract payments - Voluntary Associations,General Creditors
ADCHILD,ALAM99,Alameda Middle School,10480869,631.00,13/04/2015,Transfer Payments,Top-Ups - Academies & Free Schools - OLA,General Creditors
ADCHILD,ALBA04,Alban Church of England Academy,10480676,"1,628.00",09/04/2015,Transfer Payments,Top-Ups - Academies & Free Schools,Other Local Authority
ADCHILD,ALDE03,Alderlea Care Home,20126098,"1,666.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,ALDE99,Alderwood LLA Ltd,10482078,"68,037.50",01/04/2015,Transfer Payments,Voluntary & Independent Schools,General Creditors
ADCHILD,ALDW99,Aldwyck Housing Association Ltd,10483522,"2,080.37",28/04/2015,Transfer Payments,Other Social Services Payments,General Creditors
ADCHILD,ALER01,Alere Toxicology Plc,10479686,395.00,26/03/2015,Supplies,Purchase of Equipment,General Creditors
ADCHILD,ALLN01,All Nations Pre-School,10480422,"22,386.00",09/04/2015,Transfer Payments,Govt Grant - Funds delegated by the LA,General Creditors
ADCHILD,ALLI96,Alliance Foster Care Ltd,10479231,618.00,31/03/2015,Transfer Payments,Independent Foster Care,General Creditors
ADCHILD,ALLI96,Alliance Foster Care Ltd,10479234,618.00,31/03/2015,Transfer Payments,Independent Foster Care,General Creditors
ADCHILD,ALLI96,Alliance Foster Care Ltd,10479236,618.00,31/03/2015,Transfer Payments,Independent Foster Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10479496,923.20,29/03/2015,Transfer Payments,High Level Family Support CWD,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10479497,774.45,29/03/2015,Transfer Payments,High Level Family Support CWD,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10481391,428.38,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10481393,354.40,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10481394,427.85,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482914,354.51,29/03/2015,Transfer Payments,Carers Payments,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482914,"8,891.69",29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482914,"2,999.98",29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482914,"1,505.05",29/03/2015,Transfer Payments,Carers Payments,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482914,722.15,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482914,535.84,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482914,450.42,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482914,262.60,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482914,"1,115.01",29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482914,"4,262.75",29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482917,382.93,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482917,894.00,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482917,392.84,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482917,"1,491.99",29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482919,"1,405.78",01/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482919,413.73,01/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482919,819.56,01/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10482919,390.08,01/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ALPH98,Alpha Biolabs Ltd,10479794,"1,035.00",02/04/2015,Supplies,Professional Fees,General Creditors
ADCHILD,ALPH06,Alphonsus Services Ltd,20126099,"4,000.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,ANCH07,Anchor Trust,10483523,"1,636.29",28/04/2015,Transfer Payments,Other Social Services Payments,General Creditors
ADCHILD,ANGE03,Angel Care Homes,20126100,"2,160.84",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,ANGL05,Anglian Water,10479959,483.76,21/02/2015,Premises,Water Charges,Utilities
