Directorate,Supplier,Supplier Name,TransNo,Amount,Trans.date,Expense Area,Expense Type
ADCHILD,121C01,121 Cars,10486866,594.00,30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,121C01,121 Cars,10486890,320.00,30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,121C01,121 Cars,10486891,"1,248.00",30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,121C01,121 Cars,10486892,"2,145.08",30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,121C01,121 Cars,10486893,"1,547.00",30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,121C01,121 Cars,10486894,748.00,30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,121C01,121 Cars,10486895,"1,404.00",30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,24SE01,24 Seven Fostering Services Ltd.,10483843,"2,978.57",28/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,24SE01,24 Seven Fostering Services Ltd.,10483845,"2,978.57",28/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,24SE01,24 Seven Fostering Services Ltd.,10483846,"2,935.71",28/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,24SE01,24 Seven Fostering Services Ltd.,10487586,"3,077.86",18/05/2015,Transfer Payments,Independent Foster Care
ADCHILD,24SE01,24 Seven Fostering Services Ltd.,10487587,"3,033.57",18/05/2015,Transfer Payments,Independent Foster Care
ADCHILD,24SE01,24 Seven Fostering Services Ltd.,10487588,595.71,18/05/2015,Transfer Payments,Independent Foster Care
ADCHILD,247C99,24/7 Cars Bedford Ltd,10486799,"1,115.40",01/05/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,ATOB99,A To B Cars,10486801,812.00,30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,ATOB99,A To B Cars,10486821,"1,316.00",30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,ATOB99,A To B Cars,10486900,"1,288.00",30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,A1CA01,A1 Cars,10486800,"4,849.00",30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,A1CA01,A1 Cars,10486818,"3,403.40",30/04/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,A1CA01,A1 Cars,10487685,"1,158.00",30/04/2015,Transfer Payments,Transport & Meals (Social Services Care)
ADCHILD,ABBE05,Abbeyfield School,10486938,438.00,15/05/2015,Transfer Payments,Top-Ups - Academies & Free Schools - OLA
ADCHILD,ABLE97,Able Community Care,10482014,"1,260.00",16/04/2015,Transfer Payments,Home Care
ADCHILD,ABLE97,Able Community Care,10482015,"1,260.00",16/04/2015,Transfer Payments,Home Care
ADCHILD,ABLE97,Able Community Care,10484453,"1,260.00",29/04/2015,Transfer Payments,Home Care
ADCHILD,ABLE97,Able Community Care,10484454,"1,260.00",29/04/2015,Transfer Payments,Home Care
ADCHILD,SOUT92,Accent Security Limited T/A South East Security,10485695,"3,250.00",13/04/2015,Supplies,Purchase of Equipment
ADCHILD,ACOR97,Acorn Fostering Services Ltd,10485481,"2,091.43",01/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ADOP99,Adoptionplus Ltd,10487605,"1,068.75",22/04/2015,Supplies,Professional Fees
ADCHILD,ADRC99,Adr Care Homes Ltd,20127950,"2,071.43",06/05/2015,Transfer Payments,Respite Care
ADCHILD,AGSC01,AGS Cars Ltd,10486802,"2,196.00",14/05/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,AGSC01,AGS Cars Ltd,10487043,"4,079.50",18/05/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,ALAM99,Alameda Middle School,10486934,631.00,15/05/2015,Transfer Payments,Top-Ups - Academies & Free Schools - OLA
ADCHILD,ALBA04,Alban Church of England Academy,10486119,"4,680.00",05/05/2015,Transfer Payments,Payments to Schools
ADCHILD,ALBA04,Alban Church of England Academy,10486986,"1,628.00",14/05/2015,Transfer Payments,Top-Ups - Academies & Free Schools
ADCHILD,ALDE03,Alderlea Care Home,20127952,"1,666.60",06/05/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,ALDE99,Alderwood LLA Ltd,10482075,"18,821.34",07/04/2015,Transfer Payments,Voluntary & Independent Schools
ADCHILD,ALDW99,Aldwyck Housing Association Ltd,10488795,624.90,28/05/2015,Transfer Payments,Other Social Services Payments
ADCHILD,ALDW03,Aldwyck Housing Group Limited,10483775,"13,458.90",21/04/2015,Transfer Payments,Contract Payments - Private Contractors
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484125,"3,184.20",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484127,"2,894.54",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484130,"2,894.54",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484131,"3,090.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484133,"3,090.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484134,"3,090.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484136,"3,090.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484137,"3,090.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484138,"3,090.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484139,"1,442.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484140,"1,442.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484142,"1,442.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484144,"4,067.10",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484145,"3,184.20",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484148,"2,946.30",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484149,"2,946.30",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484150,"5,815.80",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484152,"3,090.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10484154,"3,090.00",29/04/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10485274,499.00,26/04/2015,Transfer Payments,High Level Family Support CWD
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10485275,325.35,26/04/2015,Transfer Payments,High Level Family Support CWD
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10486000,892.01,28/04/2015,Transfer Payments,High Level Family Support CWD
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10488094,388.15,26/04/2015,Transfer Payments,Home Care
