Directorate,Supplier,Supplier Name,TransNo,Amount,Trans.date,Expense Area,Expense Type
ADCHILD,,Cartwright King Solicitors,10507048,264.00,01/09/2015,Supplies,Professional Fees
ADCHILD,,CASH,10508662,"1,500.00",08/09/2015,Supplies,Payment of Grant
ADCHILD,,Digger Green Removals,10511141,300.00,17/09/2015,Transfer Payments,Family Assistance
ADCHILD,,Her Majesty큦 Courts & Tribunals Service,10508398,400.00,08/09/2015,Supplies,Court and Legal Fees
ADCHILD,,Her Majesty큦 Courts & Tribunals Service,10511021,400.00,22/09/2015,Supplies,Court and Legal Fees
ADCHILD,,Home Alone Pet Services,10508284,390.00,07/09/2015,Transfer Payments,Living Expenses
ADCHILD,,The Hannay Partnership Ltd,10508397,295.00,02/09/2015,Supplies,Miscellaneous Expenditure
ADCHILD,,WIPC UK Ltd,10510025,718.27,16/09/2015,Supplies,Professional Fees
ADCHILD,121C01,121 Cars,10507419,"1,404.00",17/07/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,24SE01,24 Seven Fostering Services Ltd.,10507344,"3,077.86",26/08/2015,Transfer Payments,Independent Foster Care
ADCHILD,24SE01,24 Seven Fostering Services Ltd.,10507345,"3,033.57",26/08/2015,Transfer Payments,Independent Foster Care
ADCHILD,24SE01,24 Seven Fostering Services Ltd.,10512243,"2,978.57",24/09/2015,Transfer Payments,Independent Foster Care
ADCHILD,24SE01,24 Seven Fostering Services Ltd.,10512245,"2,935.71",22/09/2015,Transfer Payments,Independent Foster Care
ADCHILD,A1CA01,A1 Cars,10507226,450.00,27/08/2015,Transfer Payments,Transport & Meals (Social Services Care)
ADCHILD,A1CA01,A1 Cars,10507232,"3,194.00",26/08/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,A1CA01,A1 Cars,10507326,"1,197.00",26/08/2015,Transport Related Expenditure,Passenger Transport
ADCHILD,A1CA01,A1 Cars,10507326,"1,096.00",26/08/2015,Transfer Payments,Transport & Meals (Social Services Care)
ADCHILD,ABLE97,Able Community Care,10506005,"2,520.00",19/08/2015,Transfer Payments,Home Care
ADCHILD,ABLE97,Able Community Care,10506005,448.00,19/08/2015,Transfer Payments,Home Care
ADCHILD,ABLE97,Able Community Care,10506006,448.00,19/08/2015,Transfer Payments,Home Care
ADCHILD,ABLE97,Able Community Care,10506006,"2,520.00",19/08/2015,Transfer Payments,Home Care
ADCHILD,ABRI01,Abritas Ltd,10507146,315.72,30/04/2015,Supplies,IT Software Licences
ADCHILD,ABRI01,Abritas Ltd,10507147,255.60,26/01/2015,Supplies,IT Software Licences
ADCHILD,ADOP99,Adoptionplus Ltd,10507309,"1,068.75",21/08/2015,Transfer Payments,Contract Payments - Private Contractors
ADCHILD,ADRC99,Adr Care Homes Ltd,20135607,"2,000.00",23/09/2015,Transfer Payments,Residential Care Home Placements
